"","Estudiante","nodos","aristas","densidad","diametro","long.med.cam","grado_medio","modularidad","coeficiente_cluster","Dropout"
"139","E000370",60,42,0.01,6,2.09,1.4,0.8,0,0
"140","E000377",60,7,0,0,NA,0.23,0.65,NA,0
"141","E000378",60,6,0,0,NA,0.2,0.5,NA,0
"142","E000379",60,64,0.02,8,2.76,2.13,0.73,0,0
"143","E000381",60,20,0.01,2,1.3,0.67,0.73,0,1
"144","E000382",60,32,0.01,8,2.7,1.07,0.68,0,1
"145","E000383",60,35,0.01,6,2.11,1.17,0.77,0,1
"146","E000385",60,11,0,0,NA,0.37,0.73,NA,1
"147","E000386",60,56,0.02,10,2.95,1.87,0.7,0,1
"148","E000390",60,50,0.01,8,2.79,1.67,0.79,0,0
"149","E000391",60,22,0.01,4,1.68,0.73,0.76,0,0
"150","E000392",60,61,0.02,11,3.28,2.03,0.79,0,0
"151","E000393",60,64,0.02,11,3.3,2.13,0.75,0,0
"152","E000395",60,65,0.02,11,3.39,2.17,0.77,0,0
"153","E000396",60,10,0,2,1.25,0.33,0.78,0,0
"154","E000397",60,11,0,2,1.31,0.37,0.69,0,0
"155","E000404",60,29,0.01,4,1.74,0.97,0.73,0,0
"156","E000406",60,4,0,0,NA,0.13,0.5,NA,1
"157","E000415",60,68,0.02,8,3.04,2.27,0.77,0,1
"158","E000417",60,45,0.01,4,2,1.5,0.8,0,0
"159","E000418",60,22,0.01,2,1.33,0.73,0.8,0,0
"160","E00042",60,8,0,1,1,0.27,0.72,NA,0
"161","E000420",60,52,0.01,10,3.03,1.73,0.75,0,1
"162","E000424",60,8,0,1,1,0.27,0.72,NA,0
"163","E000425",60,58,0.02,9,3.12,1.93,0.76,0,1
"164","E000426",60,44,0.01,5,1.69,1.47,0.84,0,1
"165","E000427",60,67,0.02,8,2.43,2.23,0.8,0,1
"166","E000429",60,1,0,1,1,0.03,-0.5,NA,1
"167","E00043",60,10,0,1,1,0.33,0.74,NA,0
"168","E000432",60,50,0.01,4,1.95,1.67,0.86,0,0
"169","E000433",60,14,0,1,1,0.47,0.78,NA,0
"170","E000435",60,15,0,5,2.03,0.5,0.62,0,1
"171","E000437",60,5,0,1,1,0.17,0.64,NA,1
"172","E000439",60,36,0.01,8,2.77,1.2,0.77,0,0
"173","E00044",60,51,0.01,4,1.83,1.7,0.79,0,0
"174","E000440",60,13,0,1,1,0.43,0.73,NA,0
"175","E000444",60,15,0,2,1.25,0.5,0.81,0,0
"176","E000450",60,8,0,0,NA,0.27,0.66,NA,0
"177","E000452",60,25,0.01,5,1.97,0.83,0.84,0,0
"178","E000454",60,71,0.02,8,2.94,2.37,0.81,0,0
"179","E000457",60,11,0,0,NA,0.37,0.74,NA,0
"180","E000459",60,50,0.01,7,2.65,1.67,0.75,0,0
"181","E000461",60,69,0.02,9,3.11,2.3,0.77,0,0
"182","E000462",60,44,0.01,4,1.83,1.47,0.77,0,0
"183","E000464",60,16,0,2,1.25,0.53,0.8,0,0
"184","E000471",60,45,0.01,11,3.12,1.5,0.78,0,1
"185","E000472",60,41,0.01,10,2.96,1.37,0.77,0,1
"186","E000474",60,36,0.01,8,2.77,1.2,0.77,0,0
"187","E000475",60,58,0.02,11,3.21,1.93,0.78,0,1
"188","E000480",60,10,0,2,1.33,0.33,0.64,0,0
"189","E000483",60,65,0.02,8,3.22,2.17,0.78,0,0
"190","E000484",60,9,0,0,NA,0.3,0.67,NA,0
"191","E000491",60,5,0,0,NA,0.17,0.48,NA,1
"192","E000494",60,17,0,2,1.33,0.57,0.79,0,0
"193","E000496",60,17,0,0,NA,0.57,0.77,NA,0
"194","E000497",60,49,0.01,10,3.11,1.63,0.74,0,1
"195","E000498",60,14,0,2,1.29,0.47,0.83,0,0
"196","E00050",60,11,0,2,1.12,0.37,0.83,0,1
"197","E000504",60,28,0.01,6,2.04,0.93,0.77,0,1
"198","E000505",60,16,0,4,1.52,0.53,0.75,0,1
"199","E000508",60,67,0.02,11,3.5,2.23,0.76,0,0
"200","E000509",60,0,0,0,NA,0,0,NA,1
"201","E00051",60,48,0.01,10,3.46,1.6,0.74,0,1
"202","E000514",60,29,0.01,4,1.79,0.97,0.76,0,1
"203","E000517",60,42,0.01,10,3.04,1.4,0.76,0,1
"204","E00052",60,19,0.01,4,1.75,0.63,0.68,0,1
"205","E000521",60,10,0,0,NA,0.33,0.66,NA,0
"206","E000529",60,2,0,0,NA,0.07,0,NA,0
"207","E000531",60,52,0.01,10,3.36,1.73,0.74,0,1
"208","E000535",60,11,0,2,1.31,0.37,0.69,0,1
"209","E000538",60,49,0.01,8,2.36,1.63,0.78,0,0
"210","E00054",60,47,0.01,8,2.7,1.57,0.81,0,0
"211","E000540",60,36,0.01,8,2.8,1.2,0.75,0,1
"212","E000541",60,3,0,1,1,0.1,0.44,NA,0
"213","E000544",60,7,0,0,NA,0.23,0.65,NA,0
"214","E000548",60,7,0,2,1.25,0.23,0.57,0,1
"215","E000549",60,43,0.01,8,2.74,1.43,0.75,0,0
"216","E00055",60,6,0,0,NA,0.2,0.67,NA,0
"217","E000550",60,55,0.02,11,3.46,1.83,0.8,0,0
"218","E000551",60,48,0.01,8,2.91,1.6,0.81,0,0
"219","E000557",60,2,0,0,NA,0.07,0,NA,1
"220","E000559",60,0,0,0,NA,0,0,NA,0
"221","E000560",60,9,0,1,1,0.3,0.74,NA,0
"222","E000562",60,0,0,0,NA,0,0,NA,0
"223","E000563",60,16,0,2,1.27,0.53,0.76,0,0
"224","E000565",60,7,0,1,1,0.23,0.65,NA,1
"225","E000569",60,57,0.02,11,3.32,1.9,0.74,0,1
"226","E000570",60,62,0.02,9,2.91,2.07,0.79,0,0
"227","E000571",60,30,0.01,8,2.61,1,0.79,0,1
"228","E000572",60,2,0,0,NA,0.07,0,NA,0
"229","E000575",60,37,0.01,4,2.05,1.23,0.78,0,0
"230","E000576",60,7,0,1,1,0.23,0.73,NA,0
"231","E000584",60,51,0.01,4,2.03,1.7,0.82,0,0
"232","E000586",60,8,0,0,NA,0.27,0.66,NA,0
"233","E000587",60,44,0.01,8,2.68,1.47,0.82,0,0
"234","E000589",60,0,0,0,NA,0,0,NA,0
"235","E000590",60,7,0,0,NA,0.23,0.65,NA,0
"236","E000591",60,31,0.01,8,2.56,1.03,0.75,0,1
"237","E000592",60,69,0.02,8,2.77,2.3,0.78,0,0
"238","E000593",60,25,0.01,7,2.34,0.83,0.72,0,1
"239","E000594",60,36,0.01,2,1.33,1.2,0.73,0,0
"240","E0006",60,0,0,0,NA,0,0,NA,0
"241","E000608",60,22,0.01,2,1.29,0.73,0.86,0,0
"242","E00061",60,31,0.01,8,2.56,1.03,0.72,0,1
