"estudiante","agno","semestre","evaluacion","curso","estado"
"E0001",2014,1,0.00729762783561686,"A00030","CURSADA"
"E0001",2014,1,0.00664894980578425,"A00020","CURSADA"
"E0001",2014,2,0.00664894980578425,"A00031","CURSADA"
"E0001",2014,2,0.0100545094624055,"A00032","CURSADA"
"E0001",2014,2,0.00535159374611903,"A00025","CURSADA"
"E0001",2014,2,0.00729762783561686,"A00033","CURSADA"
"E0001",2014,2,0.00794630586544947,"A00022","CURSADA"
"E0001",2014,2,0.00697328882070056,"A00034","CURSADA"
"E0001",2015,1,0.00875715340274024,"A00035","CURSADA"
"E0001",2015,1,0.00794630586544947,"A00036","CURSADA"
"E0001",2015,1,0.00843281438782393,"A00024","CURSADA"
"E0001",2015,1,0.00762196685053317,"A00029","CURSADA"
"E0001",2015,1,0,"A00037","CURSADA"
"E0001",2015,1,0.00697328882070056,"A00038","CURSADA"
"E0001",2015,2,0.0092436619251147,"A00039","CURSADA"
"E0001",2015,2,0.00778413635799132,"A00040","CURSADA"
"E0001",2015,2,0.00778413635799132,"A00041","CURSADA"
"E0001",2015,2,0.0064867802983261,"A0007","CURSADA"
"E0001",2015,2,0.0064867802983261,"A00025","CURSADA"
"E0001",2015,2,0,"A00042","CURSADA"
"E0001",2015,2,0.00762196685053317,"A00043","CURSADA"
"E0001",2015,2,0.00794630586544947,"A00044","CURSADA"
"E0001",2015,2,0.0100545094624055,"A00045","CURSADA"
"E0002",2009,1,0.00745979734307502,"A00017","CURSADA"
"E0002",2009,1,0.0100545094624055,"A00024","CURSADA"
"E0002",2009,1,0.00810847537290763,"A00013","CURSADA"
"E0002",2009,1,0.00973017044748915,"A00011","CURSADA"
"E0002",2009,1,0.00908149241765654,"A00020","CURSADA"
"E0002",2009,2,0.0092436619251147,"A0006","CURSADA"
"E0002",2009,2,0.00875715340274024,"A0008","CURSADA"
"E0002",2009,2,0.0092436619251147,"A00025","CURSADA"
"E0002",2009,2,0.00827064488036578,"A0009","CURSADA"
"E0002",2009,2,0.0102166789698636,"A00032","CURSADA"
"E0002",2010,1,0.009568000940031,"A00046","CURSADA"
"E0002",2010,1,0.0098923399549473,"A00016","CURSADA"
"E0002",2010,1,0.0098923399549473,"A00028","CURSADA"
"E0002",2010,1,0.00908149241765654,"A00018","CURSADA"
"E0002",2010,1,0.00827064488036578,"A00019","CURSADA"
"E0002",2010,2,0.00827064488036578,"A00031","CURSADA"
"E0002",2010,2,0.0102166789698636,"A00021","CURSADA"
"E0002",2010,2,0.00908149241765654,"A00034","CURSADA"
"E0002",2010,2,0.00778413635799132,"A00015","CURSADA"
"E0002",2010,2,0.00940583143257285,"A00033","CURSADA"
"E0002",2010,2,0.0107031874922381,"A00023","CURSADA"
"E0002",2011,1,0.0102166789698636,"A00030","CURSADA"
"E0002",2011,1,0.0105410179847799,"A00035","CURSADA"
"E0002",2011,1,0.0092436619251147,"A00036","CURSADA"
"E0002",2011,1,0,"A00037","CURSADA"
"E0002",2011,1,0.0110275265071544,"A00047","CURSADA"
