"","Estudiante","c_enrrolado","c_aprobados","sem_cursados","c_bajo_media","c_repetidos","c_mas_repetido","veces_c_mas_repetidos","PGA","PSP_RE_1","PSP_RE_2","PSP_RE_3","PSP_RE_4","PSP_RE_5","PSP_RE_6","PSP_RE_7","PSP_RE_8","PSP_ABS_1","PSP_ABS_2","PSP_ABS_3","PSP_ABS_4","PSP_ABS_5","PSP_ABS_6","PSP_ABS_7","PSP_ABS_8","aristas","densidad","diametro","long.med.cam","grado_medio","modularidad","Dropout"
"177","E000452",56,38,13,14,15,"A00064",4,0.00819809552632,0.0107031874359,0,0,0.00751385398002,0.00283796642907,0.00741925498005,0.00867606885731,0.00509212259203,0.006227306,0.00789225,0.00700032,0.005675925,0.005351595,0.001848732,0.00291905,0,25,0.01,5,1.97,0.83,0.84,0
"178","E000454",84,61,14,31,18,"A00064",2,0.00790642639344,0.00660261565021,0.00648678035941,0.00638947859406,0.00652732269373,0.00572998922629,0.00567593285814,0.00597324354264,0.00554619729519,0.007070592,0.00729763,0.00554079333333,0.00775710833333,0.00783819166667,0.004670484,0.00894635,0.00732079,71,0.02,8,2.94,2.37,0.81,0
"179","E000457",41,18,8,20,20,"A00063",3,0.00747781722222,0.00641727899866,0.00513536770207,0.00483265139628,0.00628406839678,0.00405423770038,0.00184873235412,0.00397315295413,0.00445966143161,0.000616244,0,0,0,0,0,0,0,11,0,0,0,0.37,0.74,0
"180","E000459",77,47,12,39,18,"A00082",3,0.00778758808511,0.00711229137544,0.00643272371963,0.00531915980391,0.00544889550656,0.0054326786,0.00629758256643,0.00604660596166,0.00644044624642,0.00681112,0.005973245,0.00475697333333,0.00764899833333,0.00821658666667,0.0019136,0.00545970833333,0.00268738,50,0.01,7,2.65,1.67,0.75,0
"181","E000461",74,49,14,36,22,"A00059",2,0.00760872979592,0.0075679103223,0.00561106493697,0.00625974303111,0.00648678035941,0.0063516391286,0.00729762790725,0.00610838481225,0.00610838481225,0.006908422,0.00724357166667,0.005324565,0.00664895,0.006459755,0.004865086,0.00791928,0.00556009857143,69,0.02,9,3.11,2.3,0.77,0
"182","E000462",61,30,12,35,25,"A00064",4,0.00733006166667,0.00478400057182,0.00570836672559,0.00544889550656,0.00632461076602,0.00491914176382,0.00535159381106,0.00466237345245,0.00489211354094,0.007103026,0.00602730166667,0.0049732,0.006270555,0.00259471166667,0.001686562,0.00424343666667,0,44,0.01,4,1.83,1.47,0.77,0
"183","E000464",41,26,8,11,12,"A00063",2,0.00759701692308,0.00525892539216,0.00755709903315,0.00619487520307,0.00729762786068,0.00518942428753,0.00428127502091,0.00616244142875,0.00720032602549,0.005351592,0.005459705,0.00264876833333,0,0,0,0,0,16,0,2,1.25,0.53,0.8,0
"184","E000471",64,55,10,5,6,"A00063",2,0.009417626,0.00823821090162,0.00640569565197,0.00727446071271,0.00924366181716,0.00908149246659,0.0100545095546,0.0082011438374,0.00867606862448,0.00801118,0.00932475333333,0.00618945833333,0.00927068833333,0.00970315,0.00415154,0.00983827,0.00843282,45,0.01,11,3.12,1.5,0.78,1
"185","E000472",56,53,9,0,0,"",0,0.00984032566038,0.00915099367765,0.00807604137808,0.0103139806539,0.00959502921129,0.0101703449285,0.0101240106991,0.00866448520018,0.0090583254184,0.008335514,0.00945987166667,0.00859497333333,0.00997343333333,0.01002748,0.004119114,0.00959502666667,0.00875715428571,41,0.01,10,2.96,1.37,0.77,1
"186","E000474",64,58,10,1,1,"A00076",1,0.00982523344828,0.00820114357131,0.0101355941345,0.00757563267169,0.00937880327304,0.00989234000444,0.00843281445226,0.00932474667206,0.0104058766738,0.009762618,0.00932475333333,0.00648677166667,0.00891932166667,0.0102437033333,0.0038272,0.0104328866667,0.00908149142857,36,0.01,8,2.77,1.2,0.77,0
